time,distance
0.000000,906.522285
0.000000,592.083293
0.000000,996.658834
0.000000,1031.614519
0.000000,325.712169
0.000000,1028.444095
0.000000,619.559527
0.000000,598.739440
0.000000,408.706552
0.000000,760.053484
0.000000,628.052112
0.000000,894.041505
0.000000,339.668211
0.000000,528.853036
0.000000,540.288741
0.000000,565.962486
0.000000,589.977558
0.000000,637.469636
0.000000,679.560880
0.000000,867.114838
0.000000,637.755197
0.000000,490.848883
0.000000,1071.928757
0.000000,763.987897
0.000000,545.830358
0.000000,661.816899
0.000000,531.763277
0.000000,260.960330
0.000000,841.262648
0.000000,432.840506
0.000000,917.827980
0.000000,998.126388
0.000000,822.519800
0.000000,698.255294
0.000000,706.759193
0.000000,409.423571
0.000000,710.662611
0.000000,1003.342885
0.000000,752.662014
0.000000,1028.849596
0.000000,489.734946
0.000000,513.571039
0.000000,503.135735
0.000000,618.336206
0.000000,391.686238
0.000000,134.354695
0.000000,415.525232
0.000000,295.561714
0.000000,741.569764
0.000000,576.889581
0.000000,566.426749
0.000000,855.888787
0.000000,639.700906
0.000000,893.852598
0.000000,1016.510990
0.000000,966.990099
0.000000,424.629615
0.000000,731.825622
0.000000,338.729769
0.000000,536.023152
0.000000,578.034802
0.000000,673.194080
0.000000,628.765125
0.000000,850.379607
0.000000,537.464241
0.000000,808.432107
0.000000,366.535833
0.000000,1000.834010
0.000000,578.195664
0.000000,452.312678
0.000000,380.787226
0.000000,842.055296
0.000000,1050.487972
0.000000,755.752882
0.000000,575.140556
0.000000,1010.689451
0.000000,374.959548
0.000000,370.557734
0.000000,256.529797
0.000000,1057.774889
0.000000,1088.353030
0.000000,362.810470
0.000000,1026.191842
0.000000,944.912169
0.000000,951.682331
0.000000,1037.478536
0.000000,482.143310
0.000000,487.211647
0.000000,618.701976
0.000000,466.312890
0.000000,432.085273
0.000000,549.670492
0.000000,372.882893
0.000000,775.515177
0.000000,621.114916
0.000000,534.210586
0.000000,1062.844661
0.000000,889.708424
0.000000,523.013394
0.000000,440.695247
0.000000,888.596460
0.000000,684.419505
0.000000,646.811900
0.000000,501.914640
0.000000,276.979832
0.000000,579.919666
0.000000,947.070296
0.000000,813.796028
0.000000,968.586869
0.000000,399.207419
0.000000,576.670250
0.000000,363.890908
0.000000,892.101134
0.000000,310.329685
0.000000,899.281627
0.000000,873.462902
0.000000,564.285153
0.000000,310.912283
0.000000,736.494976
0.000000,520.541249
0.000000,409.777321
0.000000,132.442292
0.000000,930.895302
0.000000,209.462698
0.000000,730.250783
0.000000,599.174536
0.000000,660.819691
0.000000,622.081128
0.000000,516.084200
0.000000,517.443726
0.000000,898.528496
0.000000,796.485006
0.000000,513.764962
0.000000,871.769792
0.000000,616.724603
0.000000,490.340727
0.000000,329.783512
0.000000,394.361671
0.000000,610.653484
0.000000,804.913277
0.000000,234.845845
0.000000,528.525928
0.000000,912.250187
0.000000,674.311293
0.000000,506.791204
0.000000,755.762682
0.000000,537.895355
0.000000,641.270443
0.000000,479.365496
0.000000,239.904620
0.000000,489.236937
0.000000,321.421066
0.000000,501.176855
0.000000,553.949022
0.000000,271.113331
0.000000,331.555533
0.000000,338.128313
0.000000,374.358842
0.000000,478.859104
0.000000,724.016068
0.000000,680.587600
0.000000,525.938043
0.000000,872.852920
0.000000,861.173544
0.000000,720.020271
0.000000,901.006546
0.000000,538.654306
0.000000,655.979317
