time,velocity
0.000000,29.179489
0.000000,27.570181
0.000000,24.273183
0.000000,23.954529
0.000000,16.616260
0.000000,26.406091
0.000000,25.258643
0.000000,27.965776
0.000000,30.682929
0.000000,6.409802
0.000000,24.901311
0.000000,22.563559
0.000000,25.539069
0.000000,28.283176
0.000000,23.664623
0.000000,28.482131
0.000000,12.519767
0.000000,27.285752
0.000000,23.533672
0.000000,15.916123
0.000000,30.633697
0.000000,42.888936
0.000000,17.460607
0.000000,22.727580
0.000000,16.161184
0.000000,25.608814
0.000000,44.874036
0.000000,34.296046
0.000000,31.944321
0.000000,31.457254
0.000000,33.803679
0.000000,20.334190
0.000000,34.668558
0.000000,24.097144
0.000000,18.691635
0.000000,30.358071
0.000000,22.054719
0.000000,25.509939
0.000000,16.392524
0.000000,35.210000
0.000000,34.087127
0.000000,38.711981
0.000000,22.445268
0.000000,31.109409
0.000000,42.195332
0.000000,41.299828
0.000000,18.476411
0.000000,18.721608
0.000000,29.683931
0.000000,35.817803
0.000000,34.411125
0.000000,25.699128
0.000000,24.669273
0.000000,35.280901
0.000000,35.583398
0.000000,24.674322
0.000000,32.883492
0.000000,34.644771
0.000000,26.741530
0.000000,35.725831
0.000000,13.010206
0.000000,36.926032
0.000000,18.051842
0.000000,17.879454
0.000000,27.110088
0.000000,28.952777
0.000000,25.670443
0.000000,28.675185
0.000000,27.647466
0.000000,25.914028
0.000000,29.140836
0.000000,25.691118
0.000000,21.687124
0.000000,14.080351
0.000000,25.586725
0.000000,26.383587
0.000000,30.926171
0.000000,33.450544
0.000000,39.112558
0.000000,13.373127
0.000000,24.137564
0.000000,30.519110
0.000000,28.642727
0.000000,37.036848
0.000000,36.076092
0.000000,34.881739
0.000000,35.786241
0.000000,31.318167
0.000000,12.120592
0.000000,26.621892
0.000000,31.091215
0.000000,26.992089
0.000000,30.470372
0.000000,41.066288
0.000000,16.090236
0.000000,6.379284
0.000000,28.740041
0.000000,36.694175
0.000000,29.015897
0.000000,21.895492
0.000000,22.234631
0.000000,33.566884
0.000000,28.565784
0.000000,34.544948
0.000000,29.018783
0.000000,20.784924
0.000000,28.470941
0.000000,26.642025
0.000000,34.515374
0.000000,18.358468
0.000000,43.647407
0.000000,10.459999
0.000000,28.282006
0.000000,19.116482
0.000000,35.923892
0.000000,29.504324
0.000000,26.004689
0.000000,26.785277
0.000000,14.224496
0.000000,23.392925
5.000000,36.946115
5.000000,41.665787
5.000000,50.000000
5.000000,30.159640
5.000000,50.000000
5.000000,36.799591
5.000000,11.403444
5.000000,50.000000
5.000000,39.614673
5.000000,12.679281
5.000000,50.000000
5.000000,37.717947
5.000000,49.855032
5.000000,50.000000
5.000000,50.000000
5.000000,29.876784
5.000000,50.000000
5.000000,44.870234
5.000000,44.519575
5.000000,39.738821
5.000000,48.657188
5.000000,50.000000
5.000000,50.000000
5.000000,11.325196
5.000000,50.000000
5.000000,19.760334
5.000000,37.699252
5.000000,47.282242
5.000000,50.000000
5.000000,50.000000
5.000000,29.718177
5.000000,50.000000
5.000000,49.427524
5.000000,50.000000
5.000000,40.982789
5.000000,50.000000
5.000000,50.000000
5.000000,31.208130
5.000000,32.483588
5.000000,48.203345
5.000000,38.154037
5.000000,50.000000
5.000000,50.000000
5.000000,44.711679
5.000000,41.656046
5.000000,34.398491
5.000000,25.409401
5.000000,18.721608
5.000000,50.000000
5.000000,42.274661
